@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
155,446,12,16,225,0.06639,0.973799,0.965368,0.973799,0.034632,0.969565,0.660944,1.473345,0.39
156,446,12,15,226,0.062241,0.973799,0.967462,0.973799,0.032538,0.97062,0.659514,1.476541,0.397368
157,446,12,14,227,0.058091,0.973799,0.969565,0.973799,0.030435,0.971678,0.658083,1.479751,0.404605
158,445,13,14,227,0.058091,0.971616,0.969499,0.971616,0.030501,0.970556,0.656652,1.47965,0.41
159,444,14,14,227,0.058091,0.969432,0.969432,0.969432,0.030568,0.969432,0.655222,1.479548,0.411205
160,444,14,13,228,0.053942,0.969432,0.971554,0.969432,0.028446,0.970492,0.653791,1.482786,0.43
161,444,14,12,229,0.049793,0.969432,0.973684,0.969432,0.026316,0.971554,0.652361,1.486038,0.430851
162,444,14,11,230,0.045643,0.969432,0.975824,0.969432,0.024176,0.972618,0.65093,1.489304,0.449168
163,443,15,11,230,0.045643,0.967249,0.975771,0.967249,0.024229,0.971491,0.649499,1.489222,0.46
164,443,15,10,231,0.041494,0.967249,0.977925,0.967249,0.022075,0.972558,0.648069,1.49251,0.47
165,443,15,8,233,0.033195,0.967249,0.982262,0.967249,0.017738,0.974697,0.645207,1.499129,0.48
166,443,15,7,234,0.029046,0.967249,0.984444,0.967249,0.015556,0.975771,0.643777,1.50246,0.49
167,443,15,6,235,0.024896,0.967249,0.986637,0.967249,0.013363,0.976847,0.642346,1.505806,0.492655
168,443,15,5,236,0.020747,0.967249,0.988839,0.967249,0.011161,0.977925,0.640916,1.509167,0.530328
169,442,16,5,236,0.020747,0.965066,0.988814,0.965066,0.011186,0.976796,0.639485,1.509129,0.530721
170,442,16,4,237,0.016598,0.965066,0.991031,0.965066,0.008969,0.977876,0.638054,1.512513,0.54
